aid,name,website,createdOn,parent_org,segment,account_manager,cs_client_id,int_type
4OyhLrCXej,The Northern Echo,thenorthernecho.co.uk,2017-07-19,Newsquest Media Group Limited,Premier,Tim Rowell,68331605,1
NL1bHJZ2Gr,The National,thenational.scot,2017-07-19,Newsquest Media Group Limited,Premier,Tim Rowell,68331605,1
rBSKi8pTte,Herald Scotland,heraldscotland.com,2017-07-19,Newsquest Media Group Limited,Premier,Tim Rowell,68331605,1
MH9NDnRj2b,New York Post,nypost.com,2017-07-25,"NYP Holdings, Inc.",Premier,Dana Venino,68331606,1
bF2qPWAkzX,The Hamilton Spectator,thespec.com,2017-08-07,"Metroland Media Group, Ltd.",Premier,Greg Howard,68331600,1
Wskcx1Xqje,Waterloo Region Record,therecord.com,2017-08-07,"Metroland Media Group, Ltd.",Premier,Greg Howard,68331600,1
mq4ucQHSOB,NJ.com,nj.com,2017-08-07,Advance Digital Inc.,Premier,Tomas Vasko,68331568,1
E1P0AqK62n,Kent Record-Courier,http://record-courier.com,2017-08-09,Gatehouse,Elite,Dana Venino,68331587,1
cqVXn4kcJp,Wooster Daily Record,http://the-daily-record.com,2017-08-09,Gatehouse,Elite,Dana Venino,68331587,1
KpyH2ly3tY,Ashland Times Gazette,http://times-gazette.com,2017-08-09,Gatehouse,Elite,Dana Venino,68331587,1
J05kzzNsAE,Cambridge Daily Jeffersonian,http://daily-jeff.com,2017-08-09,Gatehouse,Elite,Dana Venino,68331587,1
19fnorq5ZP,Virginian-Pilot,pilotonline.com,2017-08-16,Virginian Pilot Media Companies LLC,Select,Greg Howard,68415556,1
LBdxUZzytb,Stockton Record,http://recordnet.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
2dyhdKT5xn,SeacoastOnline,http://seacoastonline.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
fWiSLgbp8L,Foster's Daily Democrat,http://fosters.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
Z3My2YGAFK,Cape Cod Times,http://capecodtimes.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
VeVOSucm41,Middletown Times Herald-Record,http://recordonline.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
AUEgCbIJlf,New Bedford Standard-Times,http://southcoasttoday.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
zkWRYPrt7G,Decider,decider.com,2017-08-22,"NYP Holdings, Inc.",Premier,Dana Venino,68331606,1
6NqheC4DIa,Page Six,pagesix.com,2017-08-22,"NYP Holdings, Inc.",Premier,Dana Venino,68331606,1
pZpDrRDtBy,Cleveland.com,cleveland.com,2017-08-28,Advance Digital Inc.,Premier,Tomas Vasko,68331568,1
zK27EIf8Uk,Observador,observador.pt,2017-09-05,Observador,Premier,Tim Rowell,68416473,1
sUi7a62VEA,NYMag,nymag.com,2017-09-11,New York Media,Elite,Dana Venino,68331603,1
KlFb8Hg2nS,Toronto Sun,torontosun.com,2017-09-18,Postmedia,Elite,Dana Venino,68331610,1
SaL8uyWAwU,Calgary Sun,calgarysun.com,2017-09-18,Postmedia,Elite,Dana Venino,68331610,1
WytWBZZyCr,Edmonton Sun,edmontonsun.com,2017-09-18,Postmedia,Elite,Dana Venino,68331610,1
RpxZ9l1H1l,Winnipeg Sun,winnipegsun.com,2017-09-18,Postmedia,Elite,Dana Venino,68331610,1
HWJwMQIUo4,Ottawa Sun,ottawasun.com,2017-09-18,Postmedia,Elite,Dana Venino,68331610,1
XbtscClvMf,The Post and Courier,postandcourier.com,2017-09-20,"The Post and Courier, Inc.",Premier,Greg Howard,68331628,1
6qv8OniKQO,Decanter Premium,decanter.com,2017-09-21,Decanter,Premier,Tim Rowell,90151529,1
d4XLDKwgVK,The Gazette,thegazette.com,2017-10-09,"Gazette Communications, Inc.",Select,Greg Howard,68406680,1
p6M0eeA44g,Inside Philanthropy,insidephilanthropy.com,2017-10-27,Inside Philanthropy,Select,Greg Howard,68331593,1
lhpisUrvei,AdaptLocal Media LLC,adaptbn.com,2017-11-06,"AdaptLocal Media, LLC",Select,Greg Howard,68410556,1
vxCIN3E3cT,Salt Lake Tribune,sltrib.com,2017-11-07,Salt Lake Tribune,Select,Greg Howard,68413272,1
ZpCykEM7YO,Fusion Media Group,thefmg.com,2017-11-15,Fusion Media,Elite,Dana Venino,90123711,1
CwGHeq18o9,Gatehouse Media Games and Puzzles,http://games.sj-r.com,2017-11-20,Gatehouse,Elite,Dana Venino,68331587,1
yxv9HeMMI1,Cofina,cofina.pt,2017-11-27,Cofina,Premier,Tim Rowell,90141690,1
07EDjrwe2Q,Saúde,http://saude.abril.com.br/,2017-12-04,Abril Comunicacoes S.A.,Elite,Tomas Vasko,68331567,1
FV0czWAOfe,Chicago Sun Times,chicago.suntimes.com,2017-12-06,"Sun-Times Media Productions, LLC",Premier,Tomas Vasko,90147146,1
NWrSQaQjFd,Prensa Libre,http://www.prensalibre.com/,2017-12-13,Prensa Libre S.A.,Select,Tomas Vasko,68413655,1
wqo9s2cWVd,The Spectator,spectator.co.uk,2017-12-20,The Spectator,Premier,Tim Rowell,90127041,1
rdx9aWSVf9,AL.com,al.com,2018-01-03,Advance Digital Inc.,Premier,Tomas Vasko,68331568,1
